train_size,train_mean,train_std,val_mean,val_std
39,1.0,0.0,0.40617715617715616,0.023722172209767096
78,1.0,0.0,0.6131118881118881,0.03022959319214483
117,1.0,0.0,0.6898601398601398,0.036179942158364786
156,1.0,0.0,0.7626456876456876,0.04806738621239769
195,1.0,0.0,0.819988344988345,0.07469332707603481
