train_size,train_mean,train_std,val_mean,val_std
39,1.0,0.0,0.4597902097902098,0.011292136546821784
78,1.0,0.0,0.6090909090909091,0.032807563932139565
117,1.0,0.0,0.7473193473193473,0.029740155153138867
156,1.0,0.0,0.816025641025641,0.011802533743283314
195,1.0,0.0,0.8544289044289045,0.022904099629597656
