train_size,train_mean,train_std,val_mean,val_std
39,0.15384615384615385,0.018130943107347378,0.1072843822843823,0.0007065475322250678
78,1.0,0.0,0.5361305361305362,0.04629138227534368
117,1.0,0.0,0.6477272727272727,0.033399845211169454
156,1.0,0.0,0.7625291375291375,0.022130639127502905
195,1.0,0.0,0.8506410256410257,0.0672160548352357
