train_size,train_mean,train_std,val_mean,val_std
39,1.0,0.0,0.3309440559440559,0.007516973281386575
78,1.0,0.0,0.49061159454580505,0.043698502179983306
117,1.0,0.0,0.648246914849856,0.05687420454093208
156,1.0,0.0,0.7358870573870574,0.03225516924757803
195,1.0,0.0,0.8343131868131869,0.02929883659349408
