train_size,train_mean,train_std,val_mean,val_std
39,1.0,0.0,0.33870629370629374,0.022172634904053273
78,1.0,0.0,0.49094399769477165,0.056113678278466576
117,1.0,0.0,0.6747010622676257,0.019455626050418118
156,1.0,0.0,0.7655132645132645,0.04084544897271632
195,1.0,0.0,0.8291973892120952,0.03551499627477769
