sample_id,category,keypoint_path,num_frames,num_landmarks,num_dims,frame_norm_mean,frame_norm_std,frame_norm_p10,frame_norm_p50,frame_norm_p90,frame_z_abs_mean,frame_z_abs_std,frame_z_abs_p10,frame_z_abs_p50,frame_z_abs_p90,velocity_abs_mean,velocity_abs_std,velocity_abs_p10,velocity_abs_p50,velocity_abs_p90,accel_abs_mean,accel_abs_std,accel_abs_p10,accel_abs_p50,accel_abs_p90,pose_presence_ratio,pose_spread_mean,pose_spread_std,pose_spread_p10,pose_spread_p50,pose_spread_p90,pose_motion_mean,pose_motion_std,pose_motion_p10,pose_motion_p50,pose_motion_p90,face_presence_ratio,face_spread_mean,face_spread_std,face_spread_p10,face_spread_p50,face_spread_p90,face_motion_mean,face_motion_std,face_motion_p10,face_motion_p50,face_motion_p90,left_hand_presence_ratio,left_hand_spread_mean,left_hand_spread_std,left_hand_spread_p10,left_hand_spread_p50,left_hand_spread_p90,left_hand_motion_mean,left_hand_motion_std,left_hand_motion_p10,left_hand_motion_p50,left_hand_motion_p90,right_hand_presence_ratio,right_hand_spread_mean,right_hand_spread_std,right_hand_spread_p10,right_hand_spread_p50,right_hand_spread_p90,right_hand_motion_mean,right_hand_motion_std,right_hand_motion_p10,right_hand_motion_p50,right_hand_motion_p90,frame_norm_start,frame_norm_middle,frame_norm_end,frame_norm_trend
0038,about,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0038_keypoints.npy,64.0,543.0,3.0,0.568882965432686,0.03479263710181763,0.5388388038073301,0.5524647360697865,0.6228350194448471,0.026550779149143694,0.0026513008542987638,0.023599590963252946,0.026361624568596885,0.03060619220635299,0.005664405397327466,0.009033198874851628,0.00081006025925457,0.0021891650480968263,0.016397904213901766,0.00846215389239792,0.013635786756001222,0.0012083838708596027,0.0023510806436572804,0.026703947778532123,1.0,0.34206272846669417,0.001849308896140748,0.34020238018019966,0.34182552501869495,0.3437356607438482,0.004423400004757785,0.004110707281020427,0.0006999146920368112,0.0029209508429573604,0.009597653218858374,1.0,0.08345447243730761,0.018611348656306877,0.06470683380617563,0.07821374116939547,0.1006595237160421,0.012034023629079332,0.021617640971291895,0.0009490043940121495,0.0036082514630269213,0.036673936160427786,1.0,0.031126778517538433,0.0014282353461528236,0.029046595352304447,0.03156058993269471,0.032627231901533674,0.0033279548962396113,0.0027708105585461888,0.0005899760474988193,0.0025047186485500526,0.007445667833682083,1.0,0.019084340182565745,0.0018679638017581577,0.016794315429659444,0.019705664840900423,0.021262179663292222,0.003145262086236441,0.00270977065494663,0.0005203199004086515,0.0024526981500304973,0.0057550006385040835,0.6120541419244435,0.5533300451394542,0.5425200845159115,-0.06953405740853202
0020,afternoon,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0020_keypoints.npy,63.0,543.0,3.0,0.5141672401304481,0.14914823395873553,0.13511562547323452,0.5523767949806959,0.6364174963915786,0.023385743313797974,0.0036860900037781856,0.018981557930018374,0.023485269165591627,0.029285234023921882,0.01475990257522324,0.04993819464998384,0.0008501404651605107,0.002318354861979657,0.012480568974709384,0.027694401368906118,0.09159327053497096,0.001238653685068495,0.0027285739738950655,0.01648864532351014,1.0,0.32347181200241915,0.0017759466738167232,0.3215381720204475,0.32285053485801635,0.32596753673842616,0.003669703690523431,0.002908922846762517,0.0007456635368083426,0.002409662425075563,0.007399089202519543,1.0,0.088110240384858,0.03971099327198955,0.06392083080587402,0.06879632822925193,0.18194025225835847,0.033451211710541544,0.1195938634927331,0.001184349973669923,0.0038415998405624124,0.02980085478795546,0.8730158805847168,0.022843105969765593,0.008994799451044798,0.0,0.026434868072276924,0.028998542920573734,0.03340403367952777,0.13478253679982832,0.0001776715030662264,0.002368096186944017,0.008126743142118292,0.8730158805847168,0.014637218013477447,0.0062130132053187775,0.0,0.01744087026709338,0.019186103657709626,0.03284892680678646,0.13332767180025032,0.00010642393837083989,0.001962348506878335,0.00786278041482233,0.5471026286137898,0.5564583289654236,0.43894076281213124,-0.10816186580165854
0066,and,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0066_keypoints.npy,13.0,543.0,3.0,0.6655512851574055,0.021499942497880713,0.6325175862026873,0.6678594181161991,0.6952639410557563,0.03184501922517469,0.0046425241785979145,0.02481648428914746,0.03229806191014468,0.036614340594727374,0.016410344361829643,0.009692963612447853,0.002539196864949034,0.017857248928141674,0.030579610268621632,0.032856970754671734,0.011748845067375358,0.019778054326015673,0.031993110661038736,0.04936030089057767,1.0,0.24403265613525743,0.006665379733897953,0.23712326365351857,0.2462423966916647,0.24883361062797615,0.00635867686110989,0.004195927330088494,0.002266911082227984,0.006081872494721047,0.009541348667158712,1.0,0.10366155949924755,0.028814282038921477,0.05294890600456861,0.11924080451135613,0.12706728141313292,0.034391418049196036,0.025008057987504096,0.001764777062023054,0.03950055827673943,0.06851495482137751,1.0,0.02157383136112305,0.0002902657543768376,0.02129135459327423,0.021507099243463647,0.022034340837305103,0.0014267096933769316,0.0006999652934934841,0.0004989283902294411,0.0015913066335708952,0.002247671040368428,1.0,0.011188347623367834,0.00023621569144135693,0.01090069509244266,0.011225673375524735,0.01144624260166277,0.001095587653983605,0.0005704787651239508,0.0003613530174616115,0.0011627857165621518,0.0016962175210047138,0.6595372645873224,0.6576474590146746,0.6766855625276567,0.017148297940334234
0050,any tips,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0050_keypoints.npy,78.0,543.0,3.0,0.5162871924633563,0.024225903531121695,0.49265351326770157,0.5119824179339924,0.547814963622885,0.030940882846594464,0.0022390931413333232,0.0280195814446507,0.03146316621686354,0.033858594751655716,0.003363228025326631,0.003384941653673414,0.001113521209804556,0.0024847921005912857,0.004922414482131072,0.0042695168810707946,0.00541327676119649,0.001590569904523636,0.0028644876963598844,0.0054803555305807,1.0,0.3474292113573315,0.004637151248309541,0.34313466034704965,0.3461632955205801,0.3552240997957285,0.004518852934869158,0.0026719183724928015,0.0016774799392619967,0.003581774282334948,0.008397170731083141,1.0,0.0746603501592305,0.011312639183399777,0.061752361444355655,0.07611160157218207,0.09300444664573589,0.006179558468367663,0.007842153311253654,0.0014598758049654496,0.004038890311452626,0.009178158063201625,1.0,0.029621032540455873,0.0024223021725139006,0.02644458529069816,0.030135056362268937,0.0323347583402928,0.003553992065403948,0.0020579047472390408,0.0010750392369482486,0.003093132130633245,0.006553513035969387,1.0,0.017133693541440644,0.002902246433359753,0.013792144062998127,0.01740012142557351,0.02039660256032546,0.0033283796126673424,0.0021178882335546605,0.0010446456267164655,0.002806168128557921,0.006661991971560607,0.5131576082766327,0.49568533145336324,0.5400186376600725,0.026861029383439816
0067,as follows,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0067_keypoints.npy,49.0,543.0,3.0,0.6592061247006432,0.023731331209650357,0.6271358209982305,0.6673234022715474,0.6905270830014857,0.030090570279183097,0.0020339147121035276,0.026494829557532185,0.030713055770640554,0.03224326101402089,0.00918392565488811,0.009063312806552294,0.00149867301542144,0.003990541532231757,0.0199553037096576,0.014361832302855601,0.012992106972961508,0.002143294367759848,0.01642691520292036,0.031314879048850615,1.0,0.26075152238192745,0.00987942149975667,0.251226797513921,0.2603407013931207,0.2728120735096905,0.0072677498055832125,0.004985244956399476,0.0016963777326063202,0.006298573768337909,0.013452484680781057,1.0,0.07987811041184427,0.03183880664492727,0.039491735230135654,0.07035034240054694,0.12605186279894504,0.020032033629903367,0.02210856680904347,0.0018442644825673465,0.007475659099607866,0.045688421676274044,1.0,0.021848545437273437,0.0007823146012605215,0.02105317018503275,0.021872432055544004,0.022843054899118375,0.0047767187676431185,0.0027936746392792176,0.0013956001903585552,0.00428927213227117,0.008505005346164038,1.0,0.013095367891888728,0.0016438393355973394,0.010838163241587852,0.012912019988546965,0.015328601593779976,0.004785420328240837,0.0027817007539166975,0.0014390431333580864,0.004677131182737408,0.00874342509401877,0.6747322351103655,0.661318409053353,0.6426052825712952,-0.032126952539070275
0024,bad,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0024_keypoints.npy,44.0,543.0,3.0,0.547784177438065,0.017188872804661623,0.521390324312279,0.547611121043732,0.5644799807288982,0.030985987305699892,0.0016305525712335498,0.02946661347411019,0.030901923266150357,0.033431557895513685,0.0054103265005203795,0.00708239502444139,0.000943687071776857,0.0021537061103502515,0.016558194863611264,0.00920954902641385,0.00955852320907536,0.001537925488516478,0.003361389574879415,0.01786690757623335,1.0,0.33302324908435704,0.007135496207060896,0.32090388625590355,0.33288114146676595,0.34324345615656626,0.004389524722984388,0.003676161347713475,0.0009277395094094057,0.003389341497451823,0.009665627124649257,1.0,0.08889270957026027,0.013015232033742294,0.07835311993153257,0.08131850375090291,0.10709943684715843,0.011462189211954122,0.016782772330554977,0.0012142513965003163,0.00403159598402447,0.038642949857697347,1.0,0.02240369469160349,0.0012569327836991597,0.021138926578193308,0.02204381112466178,0.024415227072674635,0.003019280717822735,0.0020523953142625524,0.0009000731369642697,0.0029779310141470816,0.00581746392921207,1.0,0.012415357268285463,0.0013522344426926207,0.010385594483960417,0.012722815108489986,0.013640490014207501,0.0027970891229799895,0.0019422049013724247,0.0009125534526444078,0.002231578653087264,0.005187376823020341,0.5612447104814742,0.5378726934393915,0.544678759523921,-0.0165659509575532
0031,book,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0031_keypoints.npy,52.0,543.0,3.0,0.5137834505927962,0.026327671210788838,0.47087824433086006,0.5316364360988901,0.5362773436114531,0.02933363551966072,0.0023390744292769512,0.025255369036638657,0.03022225436350796,0.03191455823107219,0.0028919366417140455,0.004061701786328441,0.00036137462932415965,0.0010851578426908646,0.012024729464600975,0.00426203273023851,0.006232487458685296,0.0005437666931878941,0.00127387555018776,0.013890680116326654,1.0,0.32654862293957027,0.005128548866087206,0.32149511521890256,0.32355811278899466,0.33402771466458575,0.0026577733338996206,0.0029047851008077146,0.000366446111415078,0.0014149108471625692,0.007883411461702315,1.0,0.06826288113979938,0.00852594463790579,0.0569859984327062,0.06692740834332214,0.08169634956204504,0.005828084244304098,0.009512967816581085,0.0004610282119578358,0.0013851808837726425,0.027138057612703017,1.0,0.024860636422605838,0.00046619592364763063,0.02447789011756468,0.02468535883309675,0.025346199124086304,0.001909799840725339,0.0019675426228422596,0.00029055986422073395,0.001116680068669251,0.005724592406251504,1.0,0.013611887098850552,0.00034540463126298844,0.013202536385076284,0.013656797591891276,0.013958824401767312,0.0018361561152100531,0.0019678411140636653,0.00028148155347719077,0.001006667324495965,0.00553308759746586,0.4798034780771611,0.5246297180614731,0.5356319498038122,0.05582847172665112
0068,but,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0068_keypoints.npy,11.0,543.0,3.0,0.6259438408555785,0.1982271498612875,0.6663879946685244,0.6919086041694656,0.6965019659471701,0.026788005317530138,0.008523074613168952,0.02770792148962723,0.029503573312487683,0.03048374408586592,0.037214459124933104,0.09099747341519511,0.0019976268022037585,0.0030107985764824463,0.04588629284663609,0.04468911244268152,0.09439041609212896,0.0020100127701846706,0.0033235266447476995,0.08763311549485606,0.9090909361839294,0.23224806105960794,0.07345346543188339,0.252659774274644,0.25580976852834225,0.2566454578066228,0.09072372805043544,0.27486348977058933,0.0024576185260986308,0.004205368643043037,0.006422749010991835,0.9090909361839294,0.05838756257291719,0.027340553198019087,0.050749417309510096,0.05363287768949706,0.10602827680662598,0.07356993348867538,0.19025428385118406,0.0026946933800965746,0.005326423685901558,0.03833530658085382,0.9090909361839294,0.019146358916674565,0.0060713092275401425,0.020346517523316128,0.021143677606688803,0.021483454576950722,0.06340761907393529,0.19492857199118904,0.0005700266782883866,0.0015440948694980749,0.004025575205731148,0.9090909361839294,0.009999947284572078,0.00318304705143909,0.010399123044682216,0.011107193599593189,0.01146056758631806,0.06210970278194314,0.19161883636315669,0.0004014933665323951,0.001245614734732009,0.0032788712069413035,0.6766895338284177,0.6959022010047194,0.5535214089823906,-0.12316812484602713
0011,can,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0011_keypoints.npy,42.0,543.0,3.0,0.5491761608554918,0.016619024438154686,0.5323536693769547,0.5541737710692253,0.5650932323172735,0.031640055543965796,0.0014074184308063267,0.029601644263381164,0.032020249914277356,0.033447471220516445,0.004666833057963265,0.006184849296845568,0.0007930892435952707,0.0017441076313407654,0.013666997447869679,0.007850339829635764,0.008838485751415727,0.0013711250256851278,0.0037800060771919345,0.015253233456935326,1.0,0.3335074825422462,0.0067192642003387265,0.32789950917425426,0.3298131051777459,0.3438738049993294,0.005088485752626106,0.0057117985609764395,0.0009217990365889247,0.002567836712192121,0.012235490364120222,1.0,0.0766043408664421,0.023189237205398568,0.04040832027882019,0.08347310612301106,0.10443953082182345,0.009942385972084892,0.014966529205736219,0.0011697829127774008,0.003323786954870233,0.033964234638641635,1.0,0.028157876896335927,0.0006531966355472369,0.027275438844518978,0.02833582452269779,0.028704642580402305,0.0022614617165954702,0.0019064252696011216,0.0005357293813395859,0.0014415862249451744,0.005125001464493172,1.0,0.020549037179987996,0.001070866452561532,0.01856216865990699,0.02103471054340253,0.02147035088558993,0.002101485080004791,0.0016940396428519315,0.0004762858399799462,0.0014504128236047524,0.004862944040452171,0.5350140112029177,0.5580247483578874,0.5544897230056703,0.01947571180275265
0069,children,D:\UGANDA SIGN LANGUAGE INSTRUCTOR\DATASET_ug_sign_language\features\0069_keypoints.npy,49.0,543.0,3.0,0.6943634652481387,0.02697736871914464,0.654063128430784,0.710485509987337,0.7267658021237292,0.03296472915054945,0.0051175147436784175,0.02400588412763692,0.03454294355233254,0.03831128727900386,0.008510468845021935,0.011580371437542385,0.0006484698010852073,0.001682510788190782,0.022616352570168394,0.015724220957971834,0.015086155514275073,0.0007535390243579799,0.017139266134450066,0.037919923558596386,1.0,0.2591127908444622,0.0062908361190012535,0.25277274530420923,0.2561141961452602,0.2699825072579326,0.004035593296098079,0.002727855204853221,0.0008117930042763744,0.003589501671555999,0.007349080579028728,1.0,0.09981765633138567,0.02580953840554422,0.06591540541620393,0.10148910764347822,0.13143874689758478,0.018742791574975,0.027485162880231354,0.0009202719797940964,0.002407446064264357,0.05248353164184492,1.0,0.02211982288326241,0.0008502626638005914,0.021138139222436087,0.022003364259512437,0.023474956124004222,0.001489558944708114,0.0011060381210062792,0.00035360164507972194,0.001260407524311934,0.0026261747091112365,1.0,0.012596201732019257,0.0008622076846221973,0.011528654074118816,0.012625034335934454,0.013888626738008242,0.0013955307851080772,0.0010233536823915997,0.00037635372606240844,0.0012028091092684994,0.00250608452411499,0.7043604024346235,0.6903152900085752,0.688764630474566,-0.015595771960057458
