feature,importance_mean,importance_std
hog_mean_92,0.016753538815772483,0.0
hog_mean_101,0.016233525887114287,0.0
hog_mean_7,0.015841106541821758,0.0
hog_mean_6,0.01452349133028681,0.0
hog_mean_8,0.014102297989554712,0.0
hog_mean_91,0.013959743510984167,0.0
hog_mean_93,0.01378101480532387,0.0
fps,0.01356188691921353,0.0
hog_mean_100,0.012518921001118505,0.0
hog_mean_102,0.012065592392954912,0.0
gray_mean_p75,0.011993632668106675,0.0
hog_mean_53,0.011803655221960084,0.0
gray_mean_p90,0.011776369527943274,0.0
hog_mean_5,0.010840556302080228,0.0
hog_mean_16,0.010782233784615819,0.0
hog_mean_2,0.010713468053768401,0.0
hog_mean_14,0.010596036919663415,0.0
hog_mean_103,0.010463151716313849,0.0
hog_mean_136,0.010350553676086956,0.0
hog_mean_15,0.010237692681988948,0.0
hog_mean_95,0.009930572163804477,0.0
gray_mean_p25,0.009829317092158193,0.0
gray_mean_mean,0.009774251296959696,0.0
gray_end,0.00918902779542227,0.0
hog_mean_1,0.008978814702836182,0.0
gray_mean_p10,0.008686742780777528,0.0
hog_mean_94,0.00855330588169891,0.0
hog_mean_4,0.008409631545775861,0.0
hog_mean_45,0.008158053123880717,0.0
hog_mean_3,0.007920468577633252,0.0
hog_mean_143,0.007888463033974124,0.0
hog_mean_17,0.007813596263199121,0.0
gray_middle,0.007800036788422563,0.0
hog_mean_52,0.007758705512910978,0.0
gray_std_p75,0.007471955406444288,0.0
hog_mean_99,0.007368818093094845,0.0
hog_mean_50,0.0072592566083895995,0.0
hog_mean_13,0.007231440781519676,0.0
hog_mean_51,0.007092647395205301,0.0
gray_start,0.007018347816403644,0.0
gray_std_p90,0.006961537390184137,0.0
hog_mean_79,0.006717011322961196,0.0
hog_mean_135,0.006632127355697299,0.0
gray_std_mean,0.006570996890955671,0.0
hog_mean_24,0.006531705661779297,0.0
hog_mean_137,0.006529698481609575,0.0
hog_mean_85,0.006335725036894934,0.0
hog_mean_96,0.006218843540799284,0.0
gray_std_p25,0.006049572176789101,0.0
hog_std_53,0.0058684803515298865,0.0
hog_std_101,0.0058062847343390905,0.0
hog_mean_49,0.005796818341218299,0.0
hog_std_92,0.005549364618582273,0.0
hog_std_45,0.00552274802162452,0.0
gray_std_p10,0.005503052220214546,0.0
hog_mean_90,0.005474613097260834,0.0
hog_mean_46,0.00544574618100558,0.0
hog_mean_11,0.005338858988511154,0.0
hog_mean_48,0.0053374087478023306,0.0
hog_std_100,0.005299805416932644,0.0
hog_mean_97,0.005199081676401009,0.0
hog_std_7,0.004971534106074518,0.0
hog_mean_10,0.004890110102258984,0.0
hog_mean_47,0.004822070067585389,0.0
hog_mean_80,0.004766888106468233,0.0
hog_std_16,0.004720092054678028,0.0
hog_mean_98,0.004703695120749349,0.0
hog_mean_35,0.004622454034318555,0.0
hog_mean_142,0.004576072116273059,0.0
hog_std_91,0.004565663724360072,0.0
hog_mean_41,0.004561597950362713,0.0
hog_mean_0,0.004369531131545004,0.0
hog_mean_12,0.004358478251713696,0.0
hog_mean_23,0.004331310560275804,0.0
hog_mean_105,0.004208412699514072,0.0
hog_mean_139,0.00406355508413289,0.0
hog_mean_9,0.004063225502265857,0.0
hog_mean_104,0.004060958405265254,0.0
hog_mean_140,0.0038472835835181695,0.0
hog_std_95,0.003845727229182966,0.0
hog_std_15,0.0038416550627268804,0.0
hog_std_52,0.0037955310728704696,0.0
hog_mean_141,0.003731978820323882,0.0
hog_mean_43,0.003707444306266234,0.0
hog_mean_127,0.00369490109740362,0.0
hog_mean_76,0.0036643938586130888,0.0
hog_mean_18,0.0036521395875347053,0.0
hog_mean_107,0.003587808941114872,0.0
hog_std_93,0.003586366157834765,0.0
hog_mean_131,0.0035836191525776134,0.0
hog_mean_39,0.003555593555791886,0.0
hog_mean_34,0.0035265439205574697,0.0
hog_mean_40,0.003480931224835194,0.0
hog_mean_129,0.003478464678574527,0.0
hog_mean_138,0.0034341997334776217,0.0
hog_std_8,0.003426135662412352,0.0
hog_mean_33,0.0033811738775552315,0.0
hog_std_102,0.0033801365161714027,0.0
hog_std_6,0.0033504757429482224,0.0
hog_mean_75,0.0032830533589296123,0.0
hog_mean_64,0.0032591928717168976,0.0
hog_mean_74,0.0032571576798816958,0.0
hog_mean_81,0.0032349033975929706,0.0
hog_mean_27,0.003212984774843598,0.0
hog_std_138,0.003151834835861884,0.0
hog_mean_130,0.003092334246192271,0.0
hog_mean_21,0.003041076207062797,0.0
hog_mean_29,0.0030091324872820535,0.0
hog_std_140,0.0029393131572718677,0.0
hog_mean_89,0.0029099866171463933,0.0
hog_mean_26,0.0028051299371034946,0.0
hog_mean_126,0.002804398281410075,0.0
hog_std_96,0.0027655868807152824,0.0
hog_mean_19,0.0026993754711572664,0.0
hog_mean_132,0.002667935638508442,0.0
hog_std_14,0.0026526356552483113,0.0
hog_std_46,0.0026328146934081727,0.0
hog_mean_66,0.0026074390360794134,0.0
hog_mean_134,0.002579743767408782,0.0
hog_std_142,0.002575994156582046,0.0
hog_mean_83,0.0025484628082298425,0.0
hog_std_13,0.002527500851810613,0.0
hog_mean_87,0.0025152808759393045,0.0
hog_std_125,0.0024563470693990176,0.0
hog_std_47,0.002409560499161067,0.0
hog_mean_42,0.002362732245392568,0.0
hog_mean_20,0.0023571781177559054,0.0
hog_mean_37,0.0023479755505988464,0.0
hog_std_94,0.0023353177887037286,0.0
hog_mean_22,0.002315512937033299,0.0
hog_std_137,0.0023088924789657623,0.0
hog_std_3,0.00230529379920586,0.0
hog_mean_28,0.0023032550221041997,0.0
hog_std_116,0.002288750358491683,0.0
hog_std_5,0.00226551726936043,0.0
hog_std_117,0.002261279477172082,0.0
hog_std_48,0.0022501915890793217,0.0
hog_std_135,0.002241248206773065,0.0
hog_mean_67,0.0022238134841803345,0.0
hog_mean_133,0.002222896636439084,0.0
hog_std_2,0.0022178285453024,0.0
hog_std_143,0.0021456121431659937,0.0
hog_std_136,0.0021451522174908764,0.0
hog_std_4,0.0021423725796590547,0.0
hog_std_90,0.00210290430591575,0.0
hog_std_65,0.002093827020895752,0.0
hog_std_123,0.00206751303312335,0.0
hog_mean_128,0.0020253311204606723,0.0
intensity_to_motion,0.0019774153819805333,0.0
hog_mean_109,0.0019667259647815653,0.0
hog_std_108,0.001950457145986226,0.0
hog_mean_106,0.0019497413600534114,0.0
hog_mean_119,0.0019421318350036627,0.0
hog_std_133,0.0019117969162287093,0.0
hog_mean_73,0.0019019154547428837,0.0
hog_mean_44,0.0018849319714797598,0.0
hog_std_51,0.00185922187310924,0.0
hog_mean_25,0.0018070754846728411,0.0
hog_std_139,0.0018069309810665483,0.0
hog_mean_88,0.0017754013347864215,0.0
hog_std_110,0.001773767115480524,0.0
hog_mean_120,0.0017727103706269558,0.0
hog_mean_31,0.001763712203619266,0.0
hog_std_88,0.0017544517680458966,0.0
hog_mean_38,0.0017332644374114985,0.0
hog_mean_36,0.0016784115795174936,0.0
hog_std_72,0.0016705998455454523,0.0
hog_std_131,0.001598796935325681,0.0
hog_mean_77,0.001579696383562828,0.0
hog_std_41,0.0015711930499191695,0.0
hog_std_141,0.0015673277234372275,0.0
hog_std_98,0.0015531295994527423,0.0
hog_std_134,0.001547074666567587,0.0
hog_std_50,0.0015429773637722932,0.0
motion_p75,0.0015399521987271686,0.0
hog_std_97,0.0015005009486881169,0.0
hog_std_127,0.0014870329221552915,0.0
hog_mean_122,0.0014832916880330755,0.0
hog_mean_118,0.001475191234424154,0.0
motion_middle,0.0014560128737656224,0.0
hog_std_103,0.00142248708181691,0.0
hog_std_80,0.0014055142293483145,0.0
motion_mean,0.0013869292769804126,0.0
hog_std_67,0.0013802874387691833,0.0
hog_mean_58,0.0013735476964579405,0.0
hog_mean_124,0.0013275813037533528,0.0
hog_std_126,0.0012954997993569251,0.0
hog_std_104,0.0012788169403808428,0.0
hog_mean_30,0.0012720536592730014,0.0
hog_std_49,0.001263590027430851,0.0
motion_start,0.0012619056002176083,0.0
hog_std_36,0.0012381987071582044,0.0
hog_mean_78,0.0012289605866033816,0.0
hog_std_54,0.0012262703113478971,0.0
hog_std_106,0.0012214819532035345,0.0
hog_mean_65,0.0012000058281326552,0.0
hog_mean_57,0.0011813129702855135,0.0
hog_std_17,0.0011657805918782462,0.0
hog_std_62,0.001164522939663741,0.0
hog_std_63,0.0011471956412792415,0.0
hog_std_57,0.001146750751393514,0.0
hog_mean_72,0.0011464792083563417,0.0
hog_std_105,0.0011035778776415197,0.0
hog_std_129,0.0010987135882706812,0.0
hog_std_12,0.0010954814851704344,0.0
hog_std_71,0.0010950670485620688,0.0
hog_std_19,0.0010943357247363483,0.0
motion_p90,0.0010939318638364878,0.0
hog_std_44,0.0010929772566739342,0.0
hog_std_128,0.001087887953316308,0.0
