feature,importance_mean,importance_std
fps,0.14506872624476352,0.0
hog_mean_34,0.0870543841973382,0.0
hog_mean_83,0.08606581389220551,0.0
hog_mean_19,0.08240839821921384,0.0
hog_mean_57,0.08129517242637595,0.0
hog_std_61,0.07917040761509635,0.0
hog_std_25,0.07787107871618297,0.0
hog_mean_72,0.0775387103718264,0.0
hog_std_20,0.07585590540537977,0.0
hog_mean_23,0.07561277680103876,0.0
hog_mean_24,0.07480469090381546,0.0
hog_std_122,0.07454052330378219,0.0
hog_mean_64,0.07448995346937269,0.0
hog_mean_25,0.07445882154315676,0.0
hog_std_118,0.07403711245180916,0.0
hog_std_53,0.07281773679413034,0.0
hog_mean_58,0.07137948400060953,0.0
hog_std_120,0.07081504006320634,0.0
hog_std_123,0.07078210814313404,0.0
hog_std_85,0.07043120313842399,0.0
hog_std_30,0.07040926431330867,0.0
hog_mean_8,0.07034943258548645,0.0
hog_std_110,0.07016126922875246,0.0
hog_std_19,0.06871838191498353,0.0
hog_std_57,0.06859705416906187,0.0
hog_mean_21,0.06811305476356208,0.0
hog_std_124,0.0680686992322393,0.0
hog_mean_85,0.06761642877335712,0.0
hog_std_28,0.06723268694095051,0.0
hog_mean_118,0.06716515833175396,0.0
hog_std_55,0.06694768921796336,0.0
hog_mean_111,0.0668714152158718,0.0
hog_mean_75,0.06669992455879056,0.0
hog_mean_124,0.06651011690275449,0.0
hog_std_83,0.06645888243128645,0.0
hog_mean_67,0.06597360449708212,0.0
hog_mean_30,0.06575469520962515,0.0
hog_std_34,0.06559209148161295,0.0
hog_std_121,0.06544427494431958,0.0
hog_mean_31,0.06543639903300884,0.0
hog_mean_80,0.06538376126027393,0.0
hog_std_8,0.06535587580450822,0.0
hog_std_70,0.06515907853467028,0.0
hog_std_22,0.06507378736177073,0.0
hog_std_88,0.0646280801218115,0.0
hog_std_100,0.06417223139060409,0.0
hog_std_64,0.06386866145158293,0.0
hog_mean_95,0.06357591041318239,0.0
hog_mean_136,0.06353371913857747,0.0
hog_mean_119,0.06328216047449202,0.0
hog_mean_0,0.06322729459456866,0.0
hog_std_69,0.06279149457538145,0.0
hog_std_95,0.06264921510795984,0.0
hog_std_114,0.06254894730244179,0.0
hog_std_108,0.062363587418202915,0.0
hog_std_52,0.06222952429056124,0.0
hog_mean_65,0.06222743221335812,0.0
hog_mean_97,0.06220312420231034,0.0
hog_std_117,0.06213947653386478,0.0
hog_std_125,0.06213273409714777,0.0
hog_mean_135,0.06212628873557174,0.0
hog_std_116,0.062055300084852785,0.0
hog_mean_4,0.062015266009861764,0.0
hog_std_66,0.061903535475590896,0.0
hog_mean_122,0.06180110286977275,0.0
hog_std_75,0.06173436939791843,0.0
hog_std_58,0.06144050373903168,0.0
gray_trend,0.061381670398877784,0.0
hog_std_3,0.06133895535480062,0.0
hog_std_111,0.06086466456610258,0.0
hog_mean_84,0.06063120458460435,0.0
hog_std_104,0.06047509684617744,0.0
hog_mean_22,0.06032507875791172,0.0
hog_std_67,0.059978402321007325,0.0
hog_std_0,0.05993628501105107,0.0
hog_std_29,0.059883930737400816,0.0
hog_mean_120,0.059398754042532434,0.0
hog_std_2,0.05936767897526713,0.0
hog_std_133,0.05919752530768338,0.0
hog_std_112,0.059108910956800244,0.0
hog_mean_100,0.059023210685270125,0.0
hog_std_109,0.05862716045353101,0.0
hog_mean_98,0.05860801548707632,0.0
hog_std_4,0.05848969781040305,0.0
hog_mean_109,0.058164885125949264,0.0
hog_mean_70,0.058135953485701455,0.0
hog_std_86,0.0580833229814599,0.0
hog_mean_96,0.058043871437556016,0.0
hog_std_36,0.05798023295950285,0.0
hog_mean_104,0.05783474517210351,0.0
hog_mean_13,0.05781891336540137,0.0
hog_std_60,0.05780641918651661,0.0
gray_std_std,0.057653549514387094,0.0
hog_std_68,0.05758559277286959,0.0
hog_mean_33,0.05755207403961618,0.0
hog_std_119,0.05748911533276948,0.0
hog_std_98,0.05748433444413342,0.0
hog_mean_59,0.05742050796688941,0.0
hog_mean_86,0.0572211633748962,0.0
hog_mean_102,0.05711675623416976,0.0
hog_std_96,0.05692181127475164,0.0
hog_std_10,0.056886636547583504,0.0
hog_std_84,0.05678600875875259,0.0
hog_std_135,0.05670197004768308,0.0
hog_std_97,0.056647954375256465,0.0
hog_mean_79,0.05658485482536967,0.0
hog_std_14,0.05646325475416361,0.0
hog_std_32,0.056446712677699365,0.0
hog_std_31,0.05596544378112773,0.0
hog_mean_113,0.055872703289693924,0.0
hog_std_101,0.05584885176531633,0.0
hog_mean_68,0.05583538822296715,0.0
hog_mean_76,0.05582700478189398,0.0
hog_std_94,0.055795464294657406,0.0
hog_mean_101,0.05578767975349199,0.0
hog_std_90,0.05547452159624664,0.0
hog_std_136,0.0553821159872017,0.0
motion_middle,0.05531953403440851,0.0
motion_trend,0.055269334831107686,0.0
hog_mean_52,0.05525133606209888,0.0
hog_std_105,0.054901297855101214,0.0
hog_mean_66,0.05475531669325916,0.0
hog_std_74,0.05450234894358249,0.0
hog_std_115,0.054398734733397826,0.0
hog_std_126,0.054331837081504276,0.0
hog_mean_121,0.054023883235117476,0.0
hog_std_102,0.05384314088950421,0.0
hog_std_78,0.05384248589184097,0.0
hog_mean_77,0.05360519288922529,0.0
hog_mean_78,0.05348131128522062,0.0
hog_mean_29,0.05344093882010888,0.0
hog_std_5,0.05343622650112047,0.0
hog_mean_126,0.053036422477853326,0.0
hog_std_56,0.053031946826864795,0.0
hog_std_13,0.052633149556519106,0.0
hog_mean_3,0.052554708603820936,0.0
hog_mean_90,0.05252308958229193,0.0
hog_mean_2,0.05248970928297286,0.0
hog_std_65,0.05229267115213541,0.0
hog_std_72,0.05215872074840626,0.0
hog_mean_115,0.05207847371245555,0.0
hog_mean_32,0.05196328765381094,0.0
hog_std_77,0.05170266026152488,0.0
hog_std_23,0.0516174736133912,0.0
hog_std_143,0.051503333234286595,0.0
hog_mean_60,0.05144136738165577,0.0
hog_std_59,0.05131452926843325,0.0
hog_std_127,0.05131223185207446,0.0
motion_start,0.051254432158618426,0.0
gray_slope,0.05106101629030959,0.0
hog_mean_17,0.05098367931259998,0.0
hog_mean_14,0.050923043335126816,0.0
hog_std_39,0.05073288684881506,0.0
hog_mean_16,0.05006112906990816,0.0
gray_std_p75,0.049970064027014274,0.0
duration_sec,0.049926403888778725,0.0
gray_std_p10,0.04983092705237145,0.0
hog_std_80,0.049819936464930895,0.0
hog_std_82,0.04976933956021069,0.0
hog_mean_5,0.04972086117193984,0.0
hog_mean_94,0.049479211770540266,0.0
hog_mean_7,0.04947670394352475,0.0
gray_std_p90,0.049267144100410595,0.0
hog_mean_82,0.049265229979415084,0.0
hog_std_134,0.049241929349668666,0.0
hog_std_12,0.049223751377066825,0.0
hog_mean_134,0.04900401407956927,0.0
hog_mean_53,0.048988514248951794,0.0
hog_mean_74,0.048775904302009884,0.0
hog_std_45,0.04866872907496639,0.0
motion_to_frames,0.04865547854709315,0.0
frame_count,0.04856596692713488,0.0
hog_std_44,0.04855733834169495,0.0
hog_mean_106,0.04826748470278717,0.0
hog_mean_20,0.048055643371460934,0.0
